id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
110316,110316,211565,14188,95403,69020,66987,93405,74428,11001,209752,73321,120263,95212,204112,61901,38812,15768,17338,230288,92684,63007,64542,207228,229610,128163,24106,57041,137718,82501,139171
1408,1408,153246,157742,31343,20464,42552,6467,30,71712,87187,78533,1937,12719,21021,33056,45811,39416,210787,60804,1750,4588,19394,4060,14509,88236,54864,213608,80350,70112,59960
71712,71712,19889,93166,3902,157742,153246,21021,1408,93392,39510,33858,66082,46052,45811,20464,57647,92967,18856,6204,239479,87187,33056,12719,61014,6467,62078,209609,2167,65143,918
655,655,1992,253,2985,226340,103516,2840,100451,90670,580,169582,85949,1855,67198,1437,97872,2547,321,203555,66902,3195,61174,94810,104711,67106,11285,202864,6673,99966,99779
119316,119316,3901,4165,2755,63498,87811,21327,5640,95170,125438,233587,152,82653,204653,99552,92804,126506,1830,76567,19077,44632,77939,62543,59674,2153,42951,100941,62957,86310,87093
253,253,1992,103516,655,314,2985,580,89233,90670,31709,99583,58111,1855,2289,6263,94810,60741,60874,79093,78183,67198,3051,739,74313,68358,118956,138169,1449,3556,31714
237983,237983,87194,34001,44969,226241,101449,1789,87050,99048,62217,217325,82462,99047,82515,103086,139130,4464,211779,158900,66456,88974,70301,134029,127,154825,112463,66560,156616,82092,155421
121,121,57243,21320,152471,1056,35868,5148,1300,70440,203,232914,2473,117107,203946,3882,2046,62643,36409,4018,71377,84574,44318,39373,197188,72499,71441,127235,39346,95499,68002
6480,6480,6390,29173,66647,5146,73319,90412,79212,721,62416,117030,100060,4151,454,4591,83275,87826,79357,34186,99121,100347,40521,2394,33927,1691,43058,58111,62767,102966,121695
63174,63174,71018,85385,72031,65367,37646,45194,383,3716,4660,153657,11479,71739,707,13266,1215,76582,400,196220,91278,39483,74428,201992,67116,113477,60605,108545,17611,10641,88987
1911,1911,39360,70595,13210,138521,61811,201992,2774,89180,116500,17610,37602,57774,97079,55891,43982,34415,83265,210232,3162,210239,31390,9762,122902,2750,61056,31585,74114,46700,88384
226197,226197,12301,637,48552,651,10478,46056,2092,60694,2224,3508,94722,61313,15621,209415,10728,42265,67584,5467,797,1655,99477,2667,1905,2023,38003,85791,22073,203599,99706
60735,60735,236,62783,72742,60972,10463,75450,87689,3696,65294,62688,72752,2455,95574,127706,1412,11978,48860,32729,34531,8968,156608,42035,4610,43020,1639,42692,945,30667,80986
46952,46952,47318,45094,221122,45388,2593,4330,201992,21510,46533,72755,62710,62687,121658,2651,9457,64481,127948,1802,67744,129552,103302,80748,1920,62816,96213,69061,33001,81946,68018
1398,1398,16183,228473,524,79410,80308,4500,111368,112202,83755,9140,108847,31343,34732,117006,11667,63141,3452,111800,3216,117376,117067,59659,71414,95594,2014,41518,87382,4881,44857
