name,tvId,userId,rating
Ozark,69740,394,10.0
Doom Patrol,79501,395,8.0
Doom Patrol,79501,398,8.0
Xena: Warrior Princess,4616,1576,10.0
Dark,70523,813,9.0
Dark,70523,1436,4.0
Dark,70523,1575,10.0
Dark,70523,813,9.0
Dark,70523,1436,4.0
Dark,70523,1575,10.0
The Loud House,68073,1569,2.0
NYPD Blue,194,1475,10.0
RuPaul's Drag Race,8514,1576,1.0
Miami Vice,1908,1576,10.0
Halo,52814,412,2.0
Halo,52814,413,8.0
Halo,52814,709,7.0
Marvel's Daredevil,61889,1542,9.0
Marvel's Daredevil,61889,728,10.0
Mr. Robot,62560,1475,9.0
The Good Fight,69158,1594,9.0
True Detective,46648,419,10.0
True Detective,46648,420,10.0
True Detective,46648,1541,7.0
True Detective,46648,1594,8.0
Silo,125988,1595,8.0
Silo,125988,696,10.0
Home Improvement,1558,1576,10.0
Foundation,93740,428,2.0
The Uncanny Counter,113268,1500,9.0
The Uncanny Counter,113268,430,4.0
The Uncanny Counter,113268,431,7.0
The Peripheral,95403,1595,5.0
The Peripheral,95403,696,9.0
Star Trek: Picard,85949,1542,9.0
Star Trek: Picard,85949,742,2.0
Star Trek: Picard,85949,436,4.0
Star Trek: Picard,85949,437,5.0
Star Trek: Picard,85949,438,1.0
The Ren & Stimpy Show,504,440,8.0
The Ren & Stimpy Show,504,1456,10.0
Hawkeye,88329,727,8.0
The Orville,71738,1522,7.0
The Orville,71738,445,4.0
The Orville,71738,1286,7.0
The Orville,71738,1569,2.0
The Orville,71738,1595,5.0
The Orville,71738,1456,9.0
BAKI,80623,451,3.0
BAKI,80623,1542,4.0
Sherlock,19885,453,9.0
Shadowhunters,63210,454,10.0
Ghosts,17174,1559,4.0
Ghosts,17174,457,10.0
Ghosts,17174,1576,10.0
Last Week Tonight with John Oliver,60694,1594,8.0
Last Week Tonight with John Oliver,60694,788,3.0
iZombie,60866,462,10.0
The Rising of the Shield Hero,83095,1312,9.0
Hogan's Heroes,4068,1352,4.0
Hogan's Heroes,4068,1352,4.0
Warrior,73544,466,2.0
Warrior,73544,1542,7.0
Warrior,73544,1595,6.0
Zoey 101,1778,483,10.0
Haven,33001,1576,10.0
The Twilight Zone,1918,1576,10.0
Warehouse 13,15819,1576,10.0
Warehouse 13,15819,1243,8.0
Ballers,62704,1542,9.0
La Brea,128839,475,4.0
La Brea,128839,477,5.0
Eureka,4620,1576,10.0
Eureka,4620,1243,4.0
The Night Agent,129552,480,5.0
Victorious,31251,483,10.0
Monster,30981,484,10.0
Longmire,43901,1576,10.0
Scooby-Doo! Mystery Incorporated,18123,1290,8.0
The Umbrella Academy,75006,1312,8.0
Marvel's The Punisher,67178,1576,1.0
Monogatari,46195,1524,4.0
Band of Brothers,4613,493,10.0
Band of Brothers,4613,1586,10.0
